눈이 침침해	눈 체조를 해보세요.
비밀로 했는데 들켜서 오해하고 있어	오해할만한 일이 생겼을때는 솔직하게 이야기하고 풀어보세요.
나 화장을 너무 못해	하다보면 늘어요.
지금 이 순간. 너무 힘들어	그럴만 해요.
소문 날까봐 무서워	긍정적이고 부정적인 파급력이 모두 세죠.
월급이 안 오르네	월급을 올려달라고 당당하게 말씀해보세요.
2년 6개월 이렇게 끝나네	인연이 여기까지였나봅니다.
노래방 노잼	노래 연습을 해보세요.
남편이 회식하면 늦게 들어와	사회생활을 이해해주세요.
데이트하고 보통 몇시쯤에 집에 들어가?	막차 타고 집에 오죠.
오랜 연애인데도 좋아	사랑은 유지하는 게 중요한데 대단하네요.
너무 답답해서 글을 써봅니다	그것도 좋은 방법이에요.
잊지마	때론 잊어버리는 것이 좋을 때도 있어요.
여자는 호감 없어도 잘해줘?	본래 성격이 그럴 수도 있어요.
마지막 현관문을 닫을 때가 안 잊혀	잊는 건 정말 힘든 일이에요.
일어났더니 목이 잠겼어	잘못 주무셨나봐요.
친구가 다 떠나 갔어	또 다른 친구를 사귈 수 있을 거예요.
여드름 손으로 짰어	손으로 만지지 마세요.
짝남이 날 너무 편하게 생각해.	친구 이상으로 생각한다고 말해보세요.
나만 구질하게.ㅜㅜ	구질구질해도 괜찮아요.
내 사랑이 있을까?	눈을 크게 뜨고 잘 찾아보세요.
약 먹었더니 졸려	약 먹고 쉬어야 해요.
남자친구가 유학 간대	기다릴 수 있을지 자신에게 물어보세요.
이별 한달 후.	달라진게 많을 거예요.
맘 잡았다고 생각했는데	마음 잡기가 쉽지 않아요.
이별은 결국엔 가치의 문제네.	가치관이 달라 자주 부딪히면 이별하는 것이 맞는 거겠죠.
짝남에게 빼빼로 줘도 될까	용기를 내요!
심부름 간다	다녀오세요. 기다릴게요.
짝사랑에서 연인으로 발전하려면 어떻게 해야 해?	나의 존재를 인지시켜야죠.
아 또 참지 못하고 카톡 프사를 봐버렷네	아예 카톡에서 삭제하세요.
영양제 챙겨 먹을 나이가 됐어	건강은 어려서부터 챙겨야해요.
남사친이 남자로 느껴질때 있어?	이성이니까 당연히 있죠.
막말 최악이지	말로 하는 상처는 지울 수도 없죠.
벌써 가족 같아	가족이 될 사람이라서 그럴지도 모르겠어요.
울면서 카톡 보냈어 너무 힘들어서	스스로 많이 다독여주세요.
진급할 때가 된 거 같은데	열심히 하면 할 수 있을 거예요.
일주일간 괜찮았는데.	갑자기 생각나기도 한답니다.
썸 끝내야 할까?	혹시 마음이 정리 됐나요? 그런게 아니라면 아직 끝내긴 아까워요. 용기를 내봐요.
이거 뭘까. 좋아하는 걸까?	직접적인 마음을 확인하기 전까지 확실한 건 없답니다.
군인입니다 환승이별.	환승은 진짜 예의가 없네요.
어느덧 헤어진지도 4개월이 됐네	시간은 흐르고 다시 사랑이 올 거예요.
여자친구가 쿨했으면 좋겠음.	사랑은 핫해요.
답답해 죽겠네.	바람이라도 쐬고 오는 건 어떨까요.
오늘 하루도 너없이 잘 버텼다	오늘도 스스로 이겨냈어요.
남편이 츤데레 스타일이야	귀엽겠네요.
대출 이자 왜 이렇게 많이 나오지?	많이 빌렸으니까요.
누우면 자	좋은 습관이네요.
별 일 없었어?	그런 척 하는 걸 수도 있어요.
책장 좀 치워야겠다	정리가 필요하겠네요.
쓰레기기는 또 언제 치워	적당히 차면 분리 수거해서 버려 주세요.
잘 맞는 사람 만나고 싶다	많은 사람들은 살면서 맞춰가기도 해요.
사랑 받는 느낌을 못 받아	진심으로 사랑해주는 사람 만나세요.
현금영수증 안했다	다음부터는 잘 챙기세요.
여행이라도 가고싶다	이김에 떠나보세요.
공부하는 이유가 없어	공부하면 더 많은 선택을 할 수 있죠.
헤어졌을때는 자신을 바쁘게 만드는 게 제일 좋은 방법인듯	현명한 방법이에요.
좋아하면 먼저 연락해야 해?	그런 경우가 아무래도 많겠죠.
월요일도 아닌데 길이 너무 막혀	길은 항상 막히는 것 같아요.
사회에서도 좋은 사람 만날 수 있어?	가려 가며 만나면 돼요.
어디서 피해자 코스프레임?	분명한 잘못이네요.
사귄지 얼마 안됐는데 스킨십하려고해	자신의 속도에 맞추세요.
머리 한 대 맞은 거 같아	잠시 쉬었다 가세요.
더워더워	차가운 음료 너무 많이 마시면 아니 되어요
나 좀 내버려 두면 좋겠어	많이 지쳤나봐요.
엄마가 자꾸 나만 시켜	시어머니가 이뻐해 주실거예요.
헉	놀랐나봐요.
6년 4개월동안의 연애. 그 후 이별 뭘해야할까	또 다시 열심히 살아가고 사랑하는 거죠.
누가 날 좋아하는 걸 알면 어떤 생각이 들어?	처음엔 당황스러울 거예요.
이별한지 3개월	많은 시간이 흘렀네요.
반가운 연락	사랑하는 사람의 연락이었나봐요.
짝사랑 중이었는데 솔로 탈출했어요.	좋은 소식이네요.
자기 잘못은 모르고 엄청 뻔뻔해	피할 수 있으면 피하고 싶은 사람이네요.
웃을 줄 알았지	재미 있어하실 줄 알았어요.
자?	기다리고 있었어요.
와 체육대회다	일기예보 확인해보세요.
부모님한테 반항했어	나중에 후회할 거예요.
사랑이 영원할 거라 믿고 싶어	믿으면 이루어져요.
웃는 모습이 예쁜 사람	사랑에 빠졌군요.
내 이기심과 욕심이 그녀를 떠나게 한거 같아	다시는 그러지 않겠다고 솔직하게 이야기해보세요.
뭐하면서 노는 게 좋을까	나랑 같이 놀아요.
새로운 베프를 만들고 싶어	주변의 좋은 사람들에게 연락해보세요.
남편이 미워	처음 만났을 때를 떠올려 보세요
썸남이 넘 좋아서 절제가 안돼.	자연스러운 현상이에요.
이제는 숨막히고 괴로운건 좀 무뎌졌는데	상처가 아무는 데는 시간이 걸려요.
사람들은 내가 그 남자를 좋아하는 거라는데 난 이해가 안가.	직접 두분이서 대화를 나누는게 필요하겠어요.
점점 나도 지쳐가네.	지칠만 해요.
썸 탈 때는 좋은데 연애하면 정이 뚝 떨어져. 왜그래?	사귀기 전의 과정만 즐기나봐요.
내가 해본 연애 중에 짝사랑인데 이뤄진 연애는 없는 듯.	이제 그런 경우를 만들어봐요.
오늘 너무 힘드네	오늘은 힘내려 하지 말아요. 저에게 기대세요.
전화 안 받아	연락두절돼서 걱정되겠네요.
갑자기 심장이 덜컹.	당황했나요?
썸타는 사람이 플라토닉 사랑을 이해해줄까?	각자의 가치관은 존중되어야 해요.
영화관 혼자 왔어	온전히 느낄 수 있는 시간이겠네요.
헤어진지 25일째	헤어진 하루를 헤아리는 거처럼 힘든 일은 없을 거예요.
널 사랑하지 않아	직접 말해보세요.
나 축구는 진짜 잘해	운동 잘하는 사람 멋있죠.
수수한 여자가 좋아	수수한데 예쁜 여자라고 말해야죠.
3년 반의 만남 끝에 헤어지게 되었습니다.	많이 허절할 거라 생각해요.
싫어하는 눈치가 아닌 거 같은데	좀 더 호감을 표현해보세요.
간단하게 사랑이라는건.	여러번 해도 어려워요.
짝사랑 하는 사람이랑 잘됐으면 좋겠다.	꼭 잘 될거예요.
도시락 싸서 피크닉 가고 싶어	갈때 저도 같이 가요.
층간소음 때문에 왜 살인이 나는지 알 거 같애	일상을 침해당하기 때문이죠.
스킨십 속도가 쫌 빨라	원치 않으면 싫다고 말하세요.
다들 잘 헤어졌데	당신의 마음도 그런가요.
내가 진짜 둔한데 나를 좋아하는지 모르겠어.	직접적으로 물어보는게 좋겠어요.
클럽에서 만나서 사귀는거 어떻게 생각해?	어디서 만났든 그 후가 중요해요.
친구랑 사랑하는 사람이 같아	사랑은 쟁취하는거예요.
드디어 졸업한다	졸업 축하해요
어제 꿈에나온너.	그리워했나봅니다.
썸 타는 사람이 내 프사 보고 귀엽대.	칭찬은 언제든 듣기 좋죠.
이렇게 치열한 경쟁은 싫어	점점 치열해지는 것 같아요.
헤어진지 1달	금방 나아질 거예요.
움직임이 없어.	에너지가 필요한 순간이네요.
공시 붙자 마자 결혼하재	외부 상황도 중요하겠지만 결혼할 마음이 생기면 해도 늦지 않아요.
지금 연락해도 돼?	해보긴 할 거 같아요.
반장 선거 나가볼까	도전은 항상 좋죠.
연예인 걱정이 제일 쓸데 없어	동감입니다.
썸인데 떠보는 거 같아요	돌직구를 날릴 차례인 것 같습니다.
복근 만들어야지	윗몸일으키기 시작하세요.
많이 힘드네	그 과정을 통해 성장할 수 있을 거예요.
빙빙 돌려서 말하지 말고 다이렉트로 말했으면	말하는 습관 차이인 듯 합니다.
제발 저좀 살려주세요 힘들어	감히 힘내라는 말도 못하겠네요.
잠들기가 어려워	차분한 음악을 들어보세요.
또 공부해야돼	공부에 흥미를 가져보세요.
좋아하는 애랑 있으면 왜 쳐다보지를 못하겠지.	부끄러운 감정이 들어서 그래요.
유부남됐어!	축하해요!
학회 가고 있어	잘 다녀 오세요.
물가가 왜 이렇게 비쌈	그러게 말이에요.
남자분들 질문이	직접 물어보세요.
적응을 못하겠어	처음부터 잘하는 사람은 없어요.
엄마아빠랑 다시 같이 살아야돼	형편대로 하세요.
내가 좋아하는 사람이 나를 창피해하는 것 같아.	너무 슬픈 말이에요.
헷갈리는데 유지하는 게 좋을까	좋아하면 유지하게 되겠지요.
비 와	우산 챙기세요.
답답증	속 시원하게 털어버렸으면 좋을텐데요.
이별하고 욕했어	순간의 분노로 그랬을 수도 있어요.
이별후 2주반이 지난시점	수 많은 것들이 달라졌겠죠.
1년 동거하고 결혼했어	축하합니다!
힘드네 차단 해야할까?	차단도 방법이 될 거예요.
이제 그만해야겠죠?	고민하고 있다면 그게 맞을 거예요.
만나는 중에 이 남자 저 남자랑 연락하는 여자	예의가 없은 것 같아요.
무슨마음일까	사람 마을은 알기 힘들어요.
빨리 일상속으로 돌아가고픈데.	지금도 일상이에요.
괜히 카톡했네.	이제 카톡하지 마요.
단체생활 적응이 안돼	점점 적응 될 거예요.
그냥 궁금해	궁금할 수 있어요.
여자친구 집까지 데려다주려고	매너 있네요.
새로운 사랑 찾아 이제는	행복하세요.
뭐야 너무 건방져	기분이 나쁘셨나봐요.
이렇게 또 늙어간다	우리는 태어날 때부터 늙어가고 있어요.
이틀전 그녀에게 연락이 왔습니다	또 흔들리지 마세요.
집에 갈 때 피맥 먹고 싶다.	보다보면 괜찮아요.
비정규직 차별	차별이 가장 안 좋은 건데 슬프네요.
여사친이랑 연락이 끊기지 않고 너무 잘되는데 그린라이트일까?	편한 친구일 수도 있으니 좀 더 지켜보세요.
밉다 진짜	예뻐해 주세요.
셀프웨딩 어떨꺼 같아	혼자 준비하기는 조금 벅찰텐대요.
잠 들기가 무서워	내일은 좀 더 나은 하루일 거예요. 푹 자길 바랄게요.
공부 하기 싫다	같이 수다 떨면서 놀까요?
내 발등 내가 다시 찍었네	발등이 얼른 아물길 바랄게요.
말 거는게 어려워	처음만 어렵지 그 다음부터는 덜할 거예요.
집에 들어가기가 무서워	제가 있잖아요.
여기까지 인듯 합니다.	언제가는 올 순간이었을 거예요.
14년된 여자친구랑 이별	충분히 슬퍼하고 충분히 아파하다가 이겨내세요.
하나하나 다 신경이 쓰이네	신경을 다른 곳에 써보세요.
나랑 맨날 엮이는 사람이 있는데 좋아졌어.	부딛히는 일이 많아 호감이 생겼나봐요.
왜 끝내지 못하는거죠?	관계를 끝내는건 생각보다 힘들어요.
헤어진지 3일째인데 오늘 몰아쳐오네여	후폭풍이 찾아왔군요.
다 허무하다	모든 건 필요가 있어요.
낮에는 그나마 괜찮은데	밤에는 힘든가요.
희망고문	아예 생각을 하지 말아요.
어떤 영화 볼까	최신 영화가 좋을 것 같아요.
청첩장 누구한테 줘야할지	그게 제일 고민이죠.
남자가 먼저 고백해야 해?	고백에 성별은 없어죠.
왜그랬어?	자신에게 물어보세요.
밥 먹다 옷에 흘렸어	깨끗하게 치워주세요.
역류성 식도염 온 거 같아.	과식하지 말고 먹고 눕지 마세요!
서류에서 떨어지다니	합격하는 곳이 있을 거예요.
집에 먼지가 너무 많아	대청소를 해보세요!
나 정말 무뎌지고있나봐	자연스런 현상이에요.
친구의 남자친구가 눈에 들어와	만나지도 연락하지도 말아보세요.
너무 화나.	결국 시간은 흐르고 일상으로 돌아갈 거예요.
썸 끝나고 잡아도 될까	사랑은 언제든 다시 시작해도 됩니다.
장난치니까 좋다	재미있나봐요.
썸남 만나러 갈지 말지 고민 돼.	많이 만나면 만날 수록 좋죠.
방학에 만날 사람이 없네	먼저 사람들이랑 연락해서 놀러 가는 건 어때요?
바쁜 나의 일상으로	일상으로 돌아갑시다.
오늘도 하루 버텻구나.	오늘도 이렇게 이겨냈어요.
여자친구 말고 다른 여자도 만나보고 싶어.	흔들리고 있나요.
마딩 있는 주택에 살고 싶어	돈을 모아 땅을 사세요.
나보다 친구들을 더 좋아하는 여친.	사귀다 보면 생각보다 신겨 쓰이는 일이에요.
수업시간 내내 잤어	한창 잠이 많을 때죠.
우리 반에 반장을 좋아해.	같은 반이라 좋겠어요.
뭐라도 해야 살거같은데.	작은 일부터 시작해보세요.
허리가 계속 아파.	계속 앉아있지 마세요.
이별의 아픔 이겨내기	사소한 일부터 시작해보세요. 작은 곳에서 느끼는 행복은 생각보다 커요.
썸 타는 여자가 남사친 만나러 간다는데 뭐라 해?	우리가 아직 사귀는 사이가 아닌데 별로 기분은 안 좋은 거 같다고 말해봐요.
재미없는 일밖에 없어	활기찬 사람을 만나보시면 생각이 바뀔 수도 있어요.
여자친구가 너무 무뚝뚝해	애교부려보세요.
보통 좋아하면 먼저 연락하나?	보통 그렇죠.
환승이별인지 이제라도 안 것에 감사해야할지	그런 사람 얼른 잊으세요.
스튜디오 촬영하는 날이야!	예쁘게 찍고 오세요.
분위기 좋은 곳에서 데이트하고 싶어	매일 가고 싶네요.
플라토닉 연애 어때?	가능한 거 같아요.
괜찮은 사람인지 어떻게 알 수 있을까?	충분한 대화를 나눠보는게 좋아요.
짝남한테 은근슬쩍 좋아하는 티 내는 방법 좀.	은근히 칭찬해주는 건 어떨까요.
대화가 잘 통하는 사람이야	그런 사람 놓치지 마세요.
잘 할 수 있을까?	그럼요. 걱정하지 마세요
자꾸 우연히 만나	우연이 필연이 되기도 합니다.
아쉬움만 남아	더 많이 배웠길 바라요.
제가 제 복을 찬거겠죠 .	다른 복 올 거예요.
답례품 뭐하지?	마음으로 충분할 거예요.
오늘도 연락하고싶은거 꾹.꾹 정말 참았습니다.	잘했어요. 잘 참았어요.
너가 생각난다	이제 그만 놓아주세요.
우리 사귀는 거 맞겠지?	직접 물어보세요.
철이 너무 일찍 들었어	철은 죽을 때 들어도 돼요.
잘하는 게 뭘까	하나라도 있을 거니 열심히 찾아보세요.
노래방 걸 거 같은데 뭐 부르지	달달한 노래요.
안경 바꿔야지	변신은 무죄!
저 사람이 왜 자꾸 볼까?	혹시 반한 걸 수도 있어요.
티 안 나게 나 싫어해	여우인가봐요.
돈 없으면 결혼도 못하겠다.	허례허식이에요.
전남친이 만나자고 합니다.	재결합이 더 힘들지요.
이제 정말 끝이겠죠	마지막을 인정하는 것도 중요해요.
농촌 봉사활동 간다	좋은 경험이 될 거예요.
전여친 헤어졌으니 남이죠?	그렇습니다.
깡 마른 거 같아	적당해요.
여자친구가 전화하는 걸 안 좋아해	다른 연락을 많이 하거나 더 자주 만나세요.
파혼	쉽지 않은 결정이었을 거예요
이젠 괜찮을 줄 알았어.	이별에 완전한 치유는 없어요.
집에 빨랑 가고 싶다	집이 최고죠.
너무 두려워.	쉬운 것부터 해결해보세요.
연락이 될지 모르겠네	그래도 해보는 게 좋을 거 같아요.
사랑하는데 여자친구가 너무 이기적이야.	진짜 사랑한다면 그 모습도 사랑해주세요.
글을 쓰게 되네	글을 쓰다보면 정리가 될 거예요.
남자가 여자를 좋아할때 하는 행동이 뭐가 있나요?	연락을 자주 하거나 잘 웃거나 등 다양한 행동에서 나타납니다.
헤어지고 3주인 오늘 만났어.	달리 할말이 있었나봐요.
헤어지기전하소연.	울지말고 해보세요.
학교 다니는 것도 힘드네	출퇴근을 미리 느껴보고 있네요.
언젠가 자기 복제가 될까	기술이 발전하면 가능하겠죠.
예쁜 카페 찾아가 볼까?	카페 데이트 좋죠.
상대와 헤어지고 돌아오는길	그 길에서 자신을 만나길 바랄게요.
무모한 시작.	무모함이 원동력이 될 거예요.
썸남한테 표현 못하겠어. 어떻게 해?	그럴 수 있어요. 자연스럽게 대화를 먼저 이어나가는 건 어떨까요?
사랑 글로 배워요	글로라도 배우세요.
오늘 또 늦잠잤어	피곤했나봐요.
집착인걸까.	잘 생각해보세요.
왜 비난만 할까	성장을 위한 비판의 말로 받아들여보세요.
이 바보탱이	좋은 말만 해주세요.
방법도 안 말해주고 그냥 열심히 하래	모르는걸 알려면 노력해야죠.
이거 썸 아냐?	말해보세요. 생각해 볼게요.
남자들은 좋아하는 사람한테만 잘해주고 그래요?	사람 마다 다르겠지만 좋아하는 사람한테 더 잘할 거예요.
일하고 올게	다녀오세요!
놀이터에 친구가 없어	제가 놀아드리고 싶네요.
느낌이 좋아	사랑의 느낌이길 바라요.
자다 깨다 해	자세가 불편한 건 아닌지 확인해보세요.
모든 진실을 알게 됐네	이제라도 알게 돼서 다행이에요.
여자친구 마중 나가야지	여자친구가 좋아할 거예요.
진심이 뭘까?	직접 물어보세요.
좋아하는 사람이 있는데 이제 못 봐.	피치 못할 사정이 있나봐요.
밤에 잠이 너무 안와여	생각이 많은가봐요.
한 사람만 죽을 때까지 사랑하는 게 가능할까?	그러기 힘들어서 결혼이라는 제도를 만든 걸 수도 있어요.
남자친구 만나고 왔어	즐거운 데이트였길 바랍니다.
머리는 잊어야한다는데 마음이 붙잡는 미련	머리랑 가슴이 가끔 따로 놀아요.
어제는 그녀의 결혼식.	이제 그녀를 잊어주세요.
이별. 버텨라	현명하시군요.
또 주말이네	월요일보단 나을지도 몰라요.
더 이상 나한테 안 왔으면 좋겠어	명확하게 거부의 의사를 표현하세요.
이별 후 3개월이 지났는데.	여전히 힘든가봅니다.
커피 좀 줄여야겠어.	과해도 안 좋아요.
친구랑 싸웠어	싸우면서 정 들 거예요.
어떤 마음인걸까	사람 맘을 알 길이 없나봐요.
절친이 오늘 모른척했어	안녕이죠.
너무 많이 먹어서 소화시켜야 하는데 움직이기가 싫어	소화제 챙겨드세요.
예랑이가 마마보이인듯	남자는 여자하기 나름이래요. 변화시켜 보세요.
헤어져야 할까.?	고민하는 것을 보니 무슨 일이 있었나봐요.
상 좀 받아야 할텐데	다음에는 받을 수 있을 거예요.
친척들 만나는 거 불편해	서로를 조금만 생각해 주면 만남이 즐거울 텐데 말이예요.
카드값 너무 많이 나왔어.	계획적이고 합리적인 소비를 해보세요.
설마했던 진짜 이별	앞일은 알 수가 없나봐요.
친구랑 만나면 좋아	그 친구랑 좋은 인연 만들어 보세요.
삼십대를 훌러덩~~~~	시작하기 딱 좋은 나이죠.
편지를 써보았어.	마음을 전하세요.
뻔하다	한가지만 보면 몰라요.
이제야 오래전 상대방이 아팠던걸 이해했어.	다음 번의 사랑에선 좀 더 신중할 수 있게 된 거예요.
내 지인한테 내 험담했대	진짜 나빴네요.
이런게 연애니??	알다가도 모르는게 연애 같아요.
썸은 연락만?	연락도 하고 직접 만나는게 좋습니다.
평범함 속에 웃음 속에 감쳐진 나	저도 그럴 때가 있답니다.
자꾸 다시 만나게 되는데 무슨 방법이 좋을까	행동반경이 비슷한가봅니다.
주말에도 헬스하러 많이 오네.	같이 운동하게 좋겠네요.
동거 하다 걸렸어	난처하시겠네요.
차 막힌다	여유를 가지세요.
우산이 없는데 빌릴까	한번 말해보세요.
습관처럼 생각나	습관처럼은 되지 않길 바랄게요.
진급에서 나만 빠졌어	기회가 다시 올 거예요.
시간표 망했다.	다음 학기를 노려보세요.
내가 잊어야 그 사람이 날 그리워하는 날이 온다	이 말 기억하세요.
이제는 이별을 받아드리려고 합니다	이별을 받아들이는 것도 중요해요.
내가 좋아하는 사람이 유명해지면 기분이 어떨까.	좋으면서도 서운하지 않을까요.
여친이 있는 사람인데 왜 나한테 잘해주지?	성격일 수도 있어요.
좋아하는 여자에 프사가.	신경쓰이나봐요.
내 존재를 알리고 싶어	우연을 가장해서 여러 번 마주쳐보세요.
카톡 2틀째 확인안하내	그분은 마음의 정리를 했나봐요.
마음만은 청춘이야	마음이라도 청춘이어야죠.
잊어야 할것들이 너무 많아	함께 했던 시간 만큼 잊어야하는 것도 많을 거예요.
남편이 나보다 집안일 더 잘해	이상적인 남편이네요.
나만의 시간이 필요해	자신과 대화하는 시간이 필요하죠.
헤어진 날 부터 오늘까지	하루도 빠짐없이 힘들었나요.
오늘 기분 좋아	저도 좋아요.
택시비로 돈을 너무 많이 썼어	대중교통을 이용해주세요.
아파	아프지 않았으면 좋겠어요.
힘들어서 결혼할까봐	도피성 결혼은 하지 않길 바라요.
인관관계 맺는 게 피곤해	그 사람을 위해 에너지를 쓰니까요.
바나나 먹어야지	맛있게 드세요.
여자친구가 너무 좋은데 자존감을 너무 떨어뜨려.	자존감을 스스로 지켜보세요.
제대로 평가해줘	제가 그럴 위치가 안돼요.
막말이 나와	입을 닫고 듣는 연습을 해보세요.
오늘 큰맘 먹고 연락했습니다	마음 먹느라 고생했어요.
친구들이랑 맛난거 먹고 싶다	조금씩 더 행복해 질거 같아요
이상적인 관계는 뭘까?	함께일 때 비로소 전부라고 느껴지는 연애가 아닐까 생각해봅니다.
차 팔아서 불편해	불편함을 조금 감수해보세요.
우리가 좋은데 왜 반대하시지	현실의 벽에 부딪혔나봐요.
서로 위로하며 함께 극복할 사람	그런 사람 만나요.
첫이별이라 그런지 너무 힘드네	처음은 다 그런가봐요.
이 사람은 도대체	무슨 생각인지 알 길이 없나봐요.
참 앞 뒤 모르고 제3자라고 지껄이는.	함부로 말하는 그런 사람들이 있더라고요.
술 먹으면 연락이 안돼	화장실 갈때 연락하라고 해봐요.
이제 괜찮습니다. 그래서 힘드네 이젠.	이별은 상처를 남기고 가니까요.
이별이란 참 힘드네	사랑하는 사람과 매순간을 함께 했었으니까요.
필통 두고 옴	빌리면 돼요.
회사 사람들이 아직도 불편해	회사에는 동료가 있을 뿐이에요.
남친 생겼는데 호칭 어떻게 해?	딱 보면 떠오르는 걸로 해보세요.
하 못참고 또 연락해버렸네	연락처 삭제하세요.
여름 끝났으면	곧 지나갑니다.
보고싶다는 생각이 너무 간절하네	이별이 만들어낸 허상일 수도 있어요.
음.반복이냐	인생은 반복의 연속이지요.
기침도 편하게 못해	답답한 상황이네요.
사람들이 날 너무 힘들게 한다.	너무 힘드시겠어요.
결혼해도 될까	이사람이다 싶은 사람이랑 하세요.
14년의 기나긴 이야기.	좋은 연애였길 바라요.
남자친구가 안놀아 줘	너무 집착하지 마세요.
연락하고 지내는데	연락하면 더 힘들 수도 있어요.
감기 같애	병원가세요.
술병이네	숙취해소제가 도움이 될까요.
곧 500일을 앞두고 헤어졌어.	더 좋은 날들이 올 거예요.
참고 있어.	잘 견뎌내고 있나봐요. 저한테 기대세요.
재채기 나와	코가 간질간질한가봐요.
달콤한 와플 먹고 싶어	근처 카페에서 드셔보세요.
되고 싶은 게 없어	거창하지 않아도 돼요.
매운 닭발 먹고 싶다.	스트레스 받으시는 일 있으신거죠.
월급에 비해 근무시간이 너무 긴 거 같애	야근 수당을 챙겨보세요.
오늘 너무 피곤해	푹 쉬세요.
내일 하루 종일 바빠	바빠도 힘내세요!
후련해	후련하다니 다행이에요.
헤어졌다는 그 말.	가슴 아픈 말이에요.
반장은 원래 힘들어?	아무래도 책임이 뒤따르니까요.
사람이 변하나?	사랑은 변하고 사람은 안 변해요.
내일 떨린다	파이팅!
소개팅 성공률 높이는 법	자신을 사랑하고 자신에 대해 잘 아는 것.
그래도 속이좀 풀리네	후련한가봐요.
스트레스 팍팍	소리를 질러보세요.
퇴근길에.	마주쳤나봅니다.
이 여자는 무슨 생각일까	사실 그분에게 직접 물어보는게 좋아요.
썸남인줄 알았는데 짝남이었나봐.	애석하네요.
택배 안와.	송장 번호를 확인해보세요.
